Feature,Baseline_Mean,Current_Mean,Mean_Change_%,Baseline_Std,Current_Std,Std_Change_%,KS_Statistic,KS_PValue,Drift_Detected
SqFt,-4.4191230195864075e-16,-0.1615132924000368,3.6548720568352184e+16,1.0049383016379714,1.1554670560290534,14.978905087579195,0.11085972850678733,0.9317638554983136,No
Bedrooms,3.7320364663563777e-16,-0.24021248898209033,-6.4364989771017e+16,1.0049383016379714,0.9809986236458957,-2.3822037584850553,0.09200603318250378,0.9859548461281978,No
Bathrooms,-1.3932210505100003e-16,-0.33284004773343895,2.3889966894456544e+17,1.0049383016379714,0.9071271910553278,-9.733046339583144,0.16289592760180996,0.5731980282908327,No
Offers,-1.6109118396521879e-16,-0.04465829195124518,2.772236869330304e+16,1.0049383016379714,0.7710199890023494,-23.276882994145346,0.08069381598793364,0.9969989665325055,No
Brick,2.6122894697062506e-17,0.36743688156326787,1.406570312456934e+18,1.0049383016379714,1.1157612096336194,11.027832038545576,0.167420814479638,0.54746244949754,No
Neighborhood,-2.1769078914218755e-18,-0.16951950432122548,7.787169360229643e+18,1.0049383016379714,1.1119923140785755,10.652794531377136,0.13800904977375567,0.7710439010105725,No
PricePerSqFt,3.1565164425617197e-16,0.03669063928527519,1.1623775751821532e+16,1.0049383016379714,0.8987688779977884,-10.564770341336885,0.1478129713423831,0.6975104621819808,No
TotalRooms,1.4095478596956644e-16,-0.335056948033138,-2.3770526536465414e+17,1.0049383016379712,1.0228487211251598,1.7822407065186034,0.17345399698340874,0.4960779480057816,No
BathBedroomRatio,-4.745659203299689e-16,-0.080485347762773,1.6959782469590424e+16,1.004938301637971,0.7729679014687871,-23.083048958437562,0.05957767722473605,0.9999874655497392,No
SqFtPerRoom,1.7524108525946098e-16,0.2879182029225778,1.6429834504636144e+17,1.0049383016379714,0.938201961003607,-6.640839594389959,0.25037707390648567,0.12221976811666563,No
OffersPerRoom,5.355193412897814e-16,0.053002618998402265,9897423848547954.0,1.0049383016379714,0.6790332299394592,-32.43035628827284,0.13273001508295626,0.8028414006117869,No
SqFt_Bedrooms,1.0558003273396096e-16,-0.22197461528295429,-2.1024298774587693e+17,1.0049383016379712,1.0284305166917407,2.3376773494929037,0.16214177978883862,0.5795197121247094,No
SqFt_Bathrooms,-4.7891973611281265e-17,-0.2938521711787306,6.135728996340876e+17,1.0049383016379712,1.015500453398663,1.051024898093372,0.2420814479638009,0.14614447837362649,No
BrickPremium,2.6122894697062506e-17,0.36743688156326787,1.406570312456934e+18,1.0049383016379714,1.1157612096336194,11.027832038545576,0.167420814479638,0.54746244949754,No
